gamma_readout	S	S''			
0	0				
0.5	2.48E-05	1E-06			
1	0.0000536	-1.05E-06			
1.5	7.82E-05	-1E-06			
2	9.88E-05	2.8E-06			
2.5	0.0001306	-3.35E-06			
3	0.000149	2.75E-06			
3.5	0.0001784	-9E-07			
4	0.0002042	1.25E-06			
4.5	0.000235	-1.8E-06			
5	0.0002586	4.875E-05			
5.5	0.0004772	2.5E-07			
6	0.0006968	-1.05E-06			
6.5	0.0009122	-9E-07			
7	0.001124	1.6E-06			
7.5	0.0013422	-6E-07			
8	0.001558	-0.00021205			
8.5	0.0009256	3.49E-05			
9	0.0004328	2.545E-05			
9.5	4.18E-05	2.275E-05			
10	-0.0002582	2.05E-05			
10.5	-0.0004762	1.03E-05			
11	-0.000653	1.43E-05			
11.5	-0.0007726	3.4E-06			
12	-0.0008786	7.4E-06			
12.5	-0.000955	2.8E-06			
13	-0.0010202	3.1E-06			
13.5	-0.001073	6.1E-06			
14	-0.0011014	2.2E-06			
14.5	-0.001121				
