gamma_readout	d				
0	0				
0.5	0.001752323				
1	0.003005657				
1.5	0.003758384				
2	0.004046465				
2.5	0.00378404				
3	0.002991111				
3.5	0.001758788				
4	8.08E-07				
4.5	0.003805859				
5	0.007113939				
5.5	0.009916768				
6	0.012209899				
6.5	0.014026465				
7	0.01534202				
7.5	0.016137576				
8	0.016374141				
8.5	0.022133939				
9	0.027372323				
9.5	0.032193737				
10	0.036685657				
10.5	0.040938586				
11	0.045033737				
11.5	0.048918586				
12	0.052735758				
12.5	0.056377778				
13	0.059820202				
13.5	0.063047273				
14	0.066070909				
14.5	0.068812525				
