gamma_readout	d for gamma_1 = 0	d for gamma_1 = 2	d forgamma_1 = 4	d for gamma_1 = 6	d for gamma_1 = 8
0	0	0	0	0	0
0.5	0.003737455	0.003738545	0.003736545	0.003735636	0.003732182
1	0.006984182	0.006985273	0.006984182	0.006984182	0.006976182
1.5	0.009818545	0.009819818	0.009819273	0.009819091	0.009808364
2	0.012112727	0.012115273	0.012114364	0.012113455	0.012098727
2.5	0.013918	0.013920364	0.013922	0.013918909	0.013901636
3	0.015182364	0.015184364	0.015185273	0.015184364	0.015164182
3.5	0.015977273	0.015979636	0.015979636	0.015979455	0.015955455
4	0.016241455	0.016242182	0.016242	0.016241091	0.016212909
4.5	0.016071818	0.016073091	0.016071091	0.016071818	0.016039818
5	0.015396909	0.015397273	0.015395091	0.015394909	0.015360364
5.5	0.014181636	0.014181091	0.014180182	0.014174364	0.014130182
6	0.012421818	0.012412909	0.012406727	0.012397818	0.012342727
6.5	0.010173273	0.010148727	0.01013	0.010109091	0.010041455
7	0.007434364	0.007390545	0.007349091	0.007315091	0.00723
7.5	0.004174182	0.004102909	0.004034182	0.003977818	0.003869273
8	0.000434727	0.00033	0.000230182	0.000144909	9.09E-07
8.5	0.006086364	0.006034364	0.005976545	0.005915636	0.005812909
9	0.011243091	0.011224364	0.011196909	0.011156545	0.011095455
9.5	0.016074909	0.016064	0.016050909	0.016028364	0.016021818
10	0.020513636	0.020509091	0.020500909	0.020489091	0.020552182
10.5	0.024734727	0.024738	0.024742	0.024739636	0.024865636
11	0.028722	0.028724727	0.028726909	0.028733636	0.028921273
11.5	0.032647091	0.032649091	0.032652909	0.03266	0.032899091
12	0.036441455	0.036440182	0.036447273	0.036458	0.036732727
12.5	0.040148909	0.040153818	0.040162727	0.040178545	0.040480909
13	0.043626545	0.043632909	0.043639273	0.043660545	0.043984727
13.5	0.046858182	0.046863455	0.046866909	0.046890364	0.047231273
14	0.049878182	0.049883818	0.049887273	0.049912545	0.050261455
14.5	0.052664	0.052671091	0.052674182	0.052700182	0.053051273
