gamma_readout	d				
0	0				
0.5	0.003737172				
1	0.006955354				
1.5	0.009731313				
2	0.011989293				
2.5	0.013741616				
3	0.014965253				
3.5	0.015731111				
4	0.015953131				
4.5	0.015729293				
5	0.014986263				
5.5	0.013730505				
6	0.012004646				
6.5	0.009724646				
7	0.006965253				
7.5	0.00370303				
8	0				
8.5	0.005751111				
9	0.011062424				
9.5	0.015814343				
10	0.020020404				
10.5	0.024051717				
11	0.028066667				
11.5	0.032061414				
12	0.03604202				
12.5	0.039935354				
13	0.043545051				
13.5	0.046872727				
14	0.050056566				
14.5	0.052974141				
