gamma_readout	S	S''			
0	0				
0.5	2.56E-05	6.25E-07			
1	5.37E-05	-2.5E-08			
1.5	8.17E-05	-1.025E-06			
2	0.0001056	1.275E-06			
2.5	0.0001346	-1.25E-07			
3	0.0001631	-1.325E-06			
3.5	0.0001863	2.85E-06			
4	0.0002209	6.5E-07			
4.5	0.0002581	1.1525E-05			
5	0.0003414	2.22E-05			
5.5	0.0005135	1.2075E-05			
6	0.0007339	1.625E-06			
6.5	0.0009608	-7.5E-08			
7	0.0011874	-2.475E-06			
7.5	0.0014041	2.66E-05			
8	0.0017272	-0.000255975			
8.5	0.0010264	4.78E-05			
9	0.0005168	2.57E-05			
9.5	0.00011	2.1375E-05			
10	-0.0002113	2.0975E-05			
10.5	-0.0004487	1.055E-05			
11	-0.0006439	1.165E-05			
11.5	-0.0007925	9.1E-06			
12	-0.0009047	3.75E-06			
12.5	-0.0010019	7.2E-06			
13	-0.0010703	4.1E-06			
13.5	-0.0011223	2.7E-06			
14	-0.0011635	5.1E-06			
14.5	-0.0011843				
