gamma_readout	rescaled S				
0	0				
0.5	0.004504505				
1	0.004504505				
1.5	0.009009009				
2	0.011261261				
2.5	0.013513514				
3	0.02027027				
3.5	0.02027027				
4	0.022522523				
4.5	0.027027027				
5	0.033783784				
5.5	0.036036036				
6	0.038288288				
6.5	0.047297297				
7	0.132882883				
7.5	0.427927928				
8	1				
8.5	0.711711712				
9	0.40990991				
9.5	0.216216216				
10	-0.013513514				
10.5	-0.238738739				
11	-0.45045045				
11.5	-0.689189189				
12	-0.851351351				
12.5	-0.95045045				
13	-0.986486486				
13.5	-1				
14	-1				
14.5	-1				
15	-1				
15.5	-1				
16	-1				
16.5	-1				
17	-1				
17.5	-1				
18	-1				
18.5	-1				
19	-1				
19.5	-1				
